predicate,keep
http://www.heritageconnector.org/RDF/database,0
http://www.heritageconnector.org/RDF/entityDATE,0
http://www.heritageconnector.org/RDF/entityEVENT,1
http://www.heritageconnector.org/RDF/entityFAC,1
http://www.heritageconnector.org/RDF/entityLANGUAGE,1
http://www.heritageconnector.org/RDF/entityLOC,1
http://www.heritageconnector.org/RDF/entityNORP,1
http://www.heritageconnector.org/RDF/entityOBJECT,1
http://www.heritageconnector.org/RDF/entityORG,1
http://www.heritageconnector.org/RDF/entityPERSON,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1
http://www.w3.org/2000/01/rdf-schema#label,0
http://www.w3.org/2001/XMLSchema#additionalType,1
http://www.w3.org/2001/XMLSchema#description,0
http://www.w3.org/2002/07/owl#sameAs,1
http://www.w3.org/2004/02/skos/core#hasTopConcept,0
http://www.w3.org/2004/02/skos/core#related,1
http://www.w3.org/2004/02/skos/core#relatedMatch,1
http://www.wikidata.org/prop/direct/P101,1
http://www.wikidata.org/prop/direct/P1056,1
http://www.wikidata.org/prop/direct/P106,1
http://www.wikidata.org/prop/direct/P1064,0
http://www.wikidata.org/prop/direct/P1202,0
http://www.wikidata.org/prop/direct/P127,1
http://www.wikidata.org/prop/direct/P135,1
http://www.wikidata.org/prop/direct/P136,1
http://www.wikidata.org/prop/direct/P1367,0
http://www.wikidata.org/prop/direct/P137,1
http://www.wikidata.org/prop/direct/P1535,1
http://www.wikidata.org/prop/direct/P1542,0
http://www.wikidata.org/prop/direct/P155,0
http://www.wikidata.org/prop/direct/P156,0
http://www.wikidata.org/prop/direct/P159,0
http://www.wikidata.org/prop/direct/P166,0
http://www.wikidata.org/prop/direct/P1679,0
http://www.wikidata.org/prop/direct/P17,1
http://www.wikidata.org/prop/direct/P1711,1
http://www.wikidata.org/prop/direct/P1716,0
http://www.wikidata.org/prop/direct/P176,1
http://www.wikidata.org/prop/direct/P18,1
http://www.wikidata.org/prop/direct/P180,1
http://www.wikidata.org/prop/direct/P1816,0
http://www.wikidata.org/prop/direct/P186,0
http://www.wikidata.org/prop/direct/P195,0
http://www.wikidata.org/prop/direct/P1995,0
http://www.wikidata.org/prop/direct/P20,1
http://www.wikidata.org/prop/direct/P2067,0
http://www.wikidata.org/prop/direct/P21,1
http://www.wikidata.org/prop/direct/P214,0
http://www.wikidata.org/prop/direct/P217,0
http://www.wikidata.org/prop/direct/P244,0
http://www.wikidata.org/prop/direct/P2598,0
http://www.wikidata.org/prop/direct/P2669,0
http://www.wikidata.org/prop/direct/P27,1
http://www.wikidata.org/prop/direct/P2703,0
http://www.wikidata.org/prop/direct/P2741,0
http://www.wikidata.org/prop/direct/P276,0
http://www.wikidata.org/prop/direct/P279,1
http://www.wikidata.org/prop/direct/P2802,0
http://www.wikidata.org/prop/direct/P287,1
http://www.wikidata.org/prop/direct/P297,0
http://www.wikidata.org/prop/direct/P3074,0
http://www.wikidata.org/prop/direct/P31,1
http://www.wikidata.org/prop/direct/P3342,1
http://www.wikidata.org/prop/direct/P361,0
http://www.wikidata.org/prop/direct/P366,0
http://www.wikidata.org/prop/direct/P39,0
http://www.wikidata.org/prop/direct/P4326,0
http://www.wikidata.org/prop/direct/P4438,0
http://www.wikidata.org/prop/direct/P452,1
http://www.wikidata.org/prop/direct/P463,0
http://www.wikidata.org/prop/direct/P485,0
http://www.wikidata.org/prop/direct/P495,1
http://www.wikidata.org/prop/direct/P527,0
http://www.wikidata.org/prop/direct/P569,0
http://www.wikidata.org/prop/direct/P570,0
http://www.wikidata.org/prop/direct/P571,0
http://www.wikidata.org/prop/direct/P580,0
http://www.wikidata.org/prop/direct/P582,0
http://www.wikidata.org/prop/direct/P585,0
http://www.wikidata.org/prop/direct/P607,1
http://www.wikidata.org/prop/direct/P61,1
http://www.wikidata.org/prop/direct/P620,0
http://www.wikidata.org/prop/direct/P6379,0
http://www.wikidata.org/prop/direct/P646,0
http://www.wikidata.org/prop/direct/P6764,0
http://www.wikidata.org/prop/direct/P710,1
http://www.wikidata.org/prop/direct/P729,0
http://www.wikidata.org/prop/direct/P730,0
http://www.wikidata.org/prop/direct/P749,1
http://www.wikidata.org/prop/direct/P7818,0
http://www.wikidata.org/prop/direct/P793,1
http://www.wikidata.org/prop/direct/P828,0
http://www.wikidata.org/prop/direct/P856,0
http://www.wikidata.org/prop/direct/P973,0
http://xmlns.com/foaf/0.1/familyName,0
http://xmlns.com/foaf/0.1/givenName,0
http://xmlns.com/foaf/0.1/made,1
http://xmlns.com/foaf/0.1/maker,1
http://xmlns.com/foaf/0.1/page,1
http://xmlns.com/foaf/0.1/title,0
https://schema.org/addressCountry,1
https://schema.org/author,0
https://schema.org/birthDate,0
https://schema.org/birthPlace,1
https://schema.org/dateCreated,0
https://schema.org/deathDate,0
https://schema.org/deathPlace,1
https://schema.org/dissolutionDate,0
https://schema.org/foundingDate,0
https://schema.org/gender,1
https://schema.org/genre,1
https://schema.org/hasOccupation,1
https://schema.org/identifier,0
https://schema.org/isPartOf,1
https://schema.org/keywords,1
https://schema.org/material,1
https://schema.org/mentions,1
https://schema.org/nationality,1
